pH,HCO3-,OH-,H+,CO3-2,DIC
1.99999997302795,7.074881679136778e-10,1.1292582067089628e-12,0.010985261095212808,4.529931631549498e-18,1.4308464390021293e-05
2.099999958930197,8.818676647197435e-10,1.4059893598936589e-12,0.008653895860950904,6.898033581741174e-18,1.4316321473963255e-05
2.1999999321416706,1.1001337145035493e-09,1.752337007631168e-12,0.0068211306531814975,1.0539314959338323e-17,1.432258227047195e-05
2.299999892330455,1.3734963459957886e-09,2.1860871634334503e-12,0.005379499970225261,1.6153875263661103e-17,1.4327610405668536e-05
2.399999829139312,1.7160497899256844e-09,2.7296015459090734e-12,0.004244853941445244,2.4833394338499258e-17,1.4331696347926585e-05
2.4999997288355433,2.1455169726592622e-09,3.410998720930668e-12,0.0033512820959589657,3.828291306623574e-17,1.4335074547924627e-05
2.5999995696298623,2.6841863905191814e-09,4.26564046258267e-12,0.002647139916509515,5.916937237771276e-17,1.433793727117781e-05
2.699999316943364,3.3600912166369845e-09,5.338002422020012e-12,0.0020919411729320167,9.166983742921541e-17,1.4340445900791566e-05
2.799998915935814,4.208493250733356e-09,6.684028434703833e-12,0.00165392890879467,1.423344834226875e-16,1.4342740357417748e-05
2.899998279498315,5.273750481417411e-09,8.374093433442912e-12,0.001308177559761037,2.2144600897435358e-16,1.4344947181830736e-05
2.9999972696176704,6.611667318508789e-09,1.0496732122453357e-11,0.0010351102415746716,3.451623681910747e-16,1.4347186749152409e-05
3.0999956672644307,8.292451938010513e-09,1.3163330840589399e-11,0.0008193402731146928,5.388960087076078e-16,1.4349580032174664e-05
3.1999931250137625,1.0404436970236277e-08,1.6514030475125083e-11,0.000648765771033273,8.426456387633022e-16,1.435225529974246e-05
3.299989091995744,1.30587592698276e-08,2.0725150966764085e-11,0.0005138617153503864,1.3194119006916513e-15,1.4355355126892666e-05
3.3999826944352534,1.6395243344834882e-08,2.6018525429789723e-11,0.0004071261000516448,2.0684844863415716e-15,1.4359044102699832e-05
3.4999725473928054,2.0589792749720198e-08,3.267322666968336e-11,0.00032264633856752775,3.246424090631861e-15,1.4363517650754296e-05
3.599956453698545,2.586366508500707e-08,4.1040282058763456e-11,0.00025575956452019566,5.100195781707008e-15,1.4369012424283386e-05
3.699930934398905,3.2495089626371116e-08,5.156110501379574e-11,0.0002027862794308718,8.019480303353614e-15,1.437581880236455e-05
3.7998904778553126,4.083377576437844e-08,6.479051276985525e-11,0.00016082134904901873,1.2619219104536797e-14,1.4384296088023142e-05
3.8998263410966687,5.131894441888196e-08,8.142533338423226e-11,0.00012756986632429318,1.9869730773275336e-14,1.439489108144821e-05
3.999724697887526,6.450157077624789e-08,1.023396940418597e-10,0.00010121813287499092,3.130144643233295e-14,1.4408160748737697e-05
4.099563676695465,8.107147066030847e-08,1.2862799382794231e-10,8.033218872216369e-05,4.932607577605677e-14,1.4424799643566724e-05
4.199308736500835,1.0188959937521911e-07,1.616561461339076e-10,6.377793394861323e-05,7.77379218449874e-14,1.4445672470230225e-05
4.298905450862456,1.2802517154466823e-07,2.0312046961685363e-10,5.06582099234903e-05,1.2249009302957902e-13,1.4471851411989228e-05
4.398268363566246,1.607954919354879e-07,2.551108801597524e-10,4.026320497746999e-05,1.928806622169323e-13,1.4504656126827668e-05
4.4972640435819855,2.0180284089472127e-07,3.201694099491941e-10,3.2031334060163794e-05,3.0332666693791554e-13,1.4545690763834706e-05
4.59568596369083,2.529559979448521e-07,4.013243548531909e-10,2.5518349358456374e-05,4.759236523521383e-13,1.4596865591358085e-05
4.693218782864142,3.1645219840475923e-07,5.020616484393504e-10,2.0372906891385523e-05,7.439161137380512e-13,1.4660379037789952e-05
4.789391056448108,3.9467737987830885e-07,6.261666021355714e-10,1.6317171795244334e-05,1.1558879020653882e-12,1.4738618006320854e-05
4.883520326405625,4.899619727857176e-07,7.77336464719792e-10,1.3131317658755911e-05,1.7796622662443027e-12,1.4833913720626903e-05
4.974665426133912,6.041228899915418e-07,9.58453784760047e-10,1.0641000259351577e-05,2.703329302411083e-12,1.494808375701358e-05
5.061617858863224,7.377695642510803e-07,1.17048543280415e-09,8.707112273891259e-06,4.028800651977341e-12,1.508173810943208e-05
5.142977479206626,8.895020269772479e-07,1.4112103461568581e-09,7.2174198492706796e-06,5.852767928047065e-12,1.5233477277034763e-05
5.217343221931213,1.0553612334927205e-06,1.6743474649673157e-09,6.080024596187884e-06,8.234676690771689e-12,1.539934257913689e-05
5.283587091975602,1.2290040941060742e-06,1.9498334206019666e-09,5.2187955879009314e-06,1.1162656174098009e-11,1.5572991167263844e-05
5.341100915608943,1.4027911133336103e-06,2.22554808501961e-09,4.570699723898627e-06,1.4537796373077877e-11,1.5746783657186297e-05
5.389894686382169,1.5693781073556751e-06,2.489839844782274e-09,4.084416435864786e-06,1.8190697769578623e-11,1.5913375867089055e-05
5.430514429307706,1.7230604869497553e-06,2.7336583179767665e-09,3.7193211045443e-06,2.1923081252339354e-11,1.6067063145123137e-05
5.4638513259896895,1.8603754433774199e-06,2.951509727520381e-09,3.4442139042409415e-06,2.5552187805438177e-11,1.6204382603735528e-05
5.490942064468802,1.9799874305968326e-06,3.14127521766362e-09,3.2357174776062287e-06,2.8939694849458532e-11,1.6323998636119358e-05
5.512820786889251,2.082180905309929e-06,3.3034060815282838e-09,3.0765874809864395e-06,3.200078284147508e-11,1.6426195671038435e-05
5.530434365689607,2.1682740677713032e-06,3.439993655645574e-09,2.9541864261329652e-06,3.469894790149062e-11,1.651229191364227e-05
5.544606982307971,2.240127198745662e-06,3.5539892921328538e-09,2.8592440341673516e-06,3.703438052347441e-11,1.6584147675022048e-05
5.556035028977999,2.299797044358489e-06,3.648656037161402e-09,2.7849153944078175e-06,3.903159680395536e-11,1.6643819747894975e-05
5.565297535118217,2.3493246506515305e-06,3.7272320285774e-09,2.7260922737188043e-06,4.072915515646903e-11,1.6693349233204165e-05
5.572872935318138,2.390623368338527e-06,3.792752814443448e-09,2.678908644986137e-06,4.217228174741361e-11,1.6734649539163015e-05
5.5791572711992,2.425434264518097e-06,3.847980613321626e-09,2.640387101856728e-06,4.340820420948253e-11,1.6769461789480812e-05
5.5844815670218,2.4553237525658788e-06,3.895400554076143e-09,2.608184359212296e-06,4.4483633434686224e-11,1.6799352451578224e-05
5.589127576528002,2.4817064100316456e-06,3.937256876672122e-09,2.5804052725605473e-06,4.544381496039431e-11,1.6825736154143207e-05
5.5933418370366725,2.505882580364804e-06,3.975612587650144e-09,2.555463773882719e-06,4.633269049640325e-11,1.6849913289468954e-05
5.597348330521708,2.529085298151787e-06,4.01242390743604e-09,2.5319755950918694e-06,4.719386783208783e-11,1.6873116940002226e-05
5.601360321956919,2.5525791693779085e-06,4.049697176784208e-09,2.508714564883456e-06,4.807562012500145e-11,1.6896611621263945e-05
5.6055914966175315,2.5775931654570918e-06,4.089382140236175e-09,2.4844143326783495e-06,4.902340777010072e-11,1.6921626488653357e-05
5.610266686490336,2.6055173961481506e-06,4.133684221390047e-09,2.4578378184219615e-06,5.009240983388701e-11,1.6949551702828706e-05
5.6156339483552316,2.6379486514510926e-06,4.185136744285241e-09,2.4276776773246604e-06,5.13484437518262e-11,1.6981984114662735e-05
5.621977252898263,2.676798673534825e-06,4.246772707989772e-09,2.3925099138198447e-06,5.2873575880180966e-11,1.7020835542433517e-05
5.629630621683387,2.7244350264301978e-06,4.322348277921766e-09,2.3507568249084467e-06,5.4774139581407785e-11,1.7068473649079844e-05
5.638993963786727,2.783869749512918e-06,4.416642086719249e-09,2.3006651657143783e-06,5.719255269980755e-11,1.7127910606883087e-05
5.650550521224443,2.859017767200601e-06,4.535865204190033e-09,2.2403102594184453e-06,6.032524488962331e-11,1.720306152423524e-05
5.6648850663907675,2.9550561121236934e-06,4.688231049102287e-09,2.1676435012878573e-06,6.44505616131595e-11,1.729910369551281e-05
5.682700483074052,3.0789262915337756e-06,4.884752399599855e-09,2.080608946155073e-06,6.997317883646067e-11,1.7422979010208145e-05
5.704827644883686,3.240033569197844e-06,5.140350812797414e-09,1.977362062334537e-06,7.749613064873849e-11,1.7584093304479702e-05
5.732219134859093,3.4512018595879274e-06,5.475371577244154e-09,1.8566235972084132e-06,8.793925681633004e-11,1.7795271370539343e-05
5.765911710418553,3.729927063727608e-06,5.9175721485480264e-09,1.7181790886311703e-06,1.0273549003107058e-10,1.8074010484507353e-05
5.806938484603274,4.099913081564282e-06,6.504559058460265e-09,1.5634674655434574e-06,1.2415605156228462e-10,1.844401673874545e-05
5.856177508915195,4.5927600317529825e-06,7.286466309830422e-09,1.3960772751198902e-06,1.55844299098617e-10,1.8936893789769992e-05
5.914150618159459,5.249550107258368e-06,8.328471381533586e-09,1.2218305717366429e-06,2.0367788793985395e-10,1.9593729570738292e-05
5.980835646802446,6.122094808981346e-06,9.71277402443622e-09,1.0481372029621742e-06,2.7713606979179394e-10,2.0466344888404165e-05
6.055592643510473,7.273945397795778e-06,1.1540199428464977e-08,8.826187367136654e-07,3.914427602667878e-10,2.1618306015213294e-05
6.137271855810557,8.781815038599976e-06,1.3932454585087864e-08,7.315225096085326e-07,5.709242372375091e-10,2.312635018672781e-05
6.224465285219901,1.0738324468300145e-05,1.70364844996752e-08,5.986754352741685e-07,8.543094309798045e-10,2.5083136561037743e-05
6.315778433020986,1.3256653253495105e-05,2.1031851746617272e-08,4.853560338478353e-07,1.3031571379587111e-09,2.7601905888227044e-05
6.410015001953174,1.647714321328525e-05,2.6141213323086693e-08,3.908702958382225e-07,2.0152958878106663e-09,3.0823097350930214e-05
6.506247011593744,2.057570583999264e-05,3.264365983241014e-08,3.133560789092389e-07,3.1462635301257443e-09,3.492277739641913e-05
6.603802980341796,2.5774098572886233e-05,4.089102004678812e-08,2.504671080502684e-07,4.943499789471554e-09,4.0122950168392e-05
6.702219147812524,3.235247343103157e-05,5.132777126230299e-08,1.998191211485409e-07,7.800884697791935e-09,4.670416063611948e-05
6.801184613111518,4.066488124022571e-05,6.451563979401711e-08,1.5922506444596723e-07,1.23457723357302e-08,5.502108580295636e-05
6.900494486178781,5.115862766881036e-05,8.116431407797625e-08,1.267893122330066e-07,1.957797653283926e-08,6.552202966250357e-05
7.000014600374929,6.439858156181634e-05,1.02170017283781e-07,1.0092279342353937e-07,3.109189260413684e-08,7.877345357199673e-05
7.099656663144092,8.109777950543818e-05,1.2866407312091805e-07,8.032015459555183e-08,4.943178168274848e-08,9.549093599656375e-05
7.199361384313159,0.00010215597829997295,1.620740876373537e-07,6.39224315409026e-08,7.866055041863562e-08,0.00011657829362903369
7.299087219077413,0.00012870819690816493,2.0420098974287071e-07,5.0877199233953624e-08,1.252711583640455e-07,0.00014317703457661143
7.398802843578429,0.00016218575965571167,2.573159213354304e-07,4.050161670955982e-08,1.9964841430283035e-07,0.00017672886314219866
7.498482033384386,0.0002043929242844381,3.242818784892218e-07,3.225035142875986e-08,3.1841573130977614e-07,0.00021905465435733835
7.598100008894802,0.00025760282839978595,4.0870604159940096e-07,2.5688717019269598e-08,5.082059527785698e-07,0.000272454170903426
7.697630608411532,0.00032467720454204844,5.151298777045687e-07,2.0470635545036053e-08,8.117252655040927e-07,0.0003398318416439701
7.79704384451859,0.00040921503689647095,6.492652579091151e-07,1.6320778749524817e-08,1.2975108470025895e-06,0.0004248551754003921
7.896303531547019,0.000515735958514297,8.182858460802551e-07,1.302020365909079e-08,2.0756381158951613e-06,0.0005321538646727551
7.9953647239272145,0.0006499044715817586,1.0311834967890934e-06,1.0394852738909473e-08,3.3230045719309057e-06,0.0006675692887764552
8.09417074537477,0.0008188006528422025,1.2991987829509813e-06,8.306373878468528e-09,5.324003901963659e-06,0.0008384658921062457
8.192649660680337,0.001031241361084184,1.636332240397936e-06,6.644804497821871e-09,8.535865116984264e-06,0.0010541177291117072
8.290709982679711,0.0012981518720651167,2.0599365438254138e-06,5.322748681770297e-09,1.3693342244850831e-05,0.0013261847867528478
8.38823554763977,0.0016329803921981423,2.591378151381001e-06,4.270744819838404e-09,2.197576282594933e-05,0.0016692945438440837
8.485079502427435,0.0020521347076231863,3.2567362900451513e-06,3.433582223657895e-09,3.527192790837335e-05,0.0021017435163848187
8.581057586924207,0.0025753999456316875,4.087475364471899e-06,2.767372405595971e-09,5.659645085969983e-05,0.0026463313528817707
8.675941164853649,0.003226267410403626,5.120981352202197e-06,2.237220506863221e-09,9.073604428991176e-05,0.0033313359505676944
8.769450948018292,0.004032068535908079,6.400796359431811e-06,1.8153736334559579e-09,0.0001452361151863681,0.0041916339950624215
8.861252993767048,0.005023772401705262,7.976329529695207e-06,1.4797482721220404e-09,0.00023187421878974914,0.0052699719193141335
8.950959250094678,0.006235287182203241,9.901793733050561e-06,1.2127593403648977e-09,0.0003688003419949109,0.00661840762277634
9.038135382063366,0.007702133531453517,1.2234159706764808e-05,1.0003898216724228e-09,0.0005835424149287276,0.00829998935133037
9.122318330713767,0.009459462915213995,1.5030081420494077e-05,8.314530794365846e-10,0.0009170654690368506,0.010390833168043734
9.20304448640562,0.011539588429473112,1.8342046256372845e-05,6.970101750988398e-10,0.0014290314207164726,0.012982913533307789
9.279886328182583,0.01396943841921896,2.2214375387007406e-05,5.899120899388878e-10,0.00220435781303833,0.016188075641112708
9.352491685838464,0.016768524553120712,2.6679971832477177e-05,5.044418822289905e-10,0.0033611775828023983,0.02014396323453571
9.420617166471432,0.019947998969905276,3.175867390780115e-05,4.360352463408448e-10,0.005060429913927666,0.025022666576664576
9.484147738579985,0.02351110642219335,3.745764087829081e-05,3.81060614693762e-10,0.007517597467601032,0.03104291179161993
9.543098254054142,0.02745491590259448,4.377353354232054e-05,3.3664311608834077e-10,0.011017496208698583,0.038486582277763894
9.597598293037338,0.03177286873120098,5.069570990136776e-05,3.0052045733047257e-10,0.015933417314561587,0.04772040865606696
9.64786593540581,0.03645755536418973,5.820946399410122e-05,2.709229848920304e-10,0.02275220697677614,0.059223825322475776
9.694177871267,0.04150328327962262,6.629857388918576e-05,2.4647323121000574e-10,0.032107048290152394,0.07362432015428849
9.736841954516597,0.04690825653641478,7.49468315035469e-05,2.261023741802784e-10,0.044819772201704425,0.09174192494048392
9.776175983082402,0.05267645381679539,8.413865113693433e-05,2.0898171508269777e-10,0.06195450340247971,0.11464473923205021
9.812494113984302,0.05881946605170924,9.385914385880925e-05,1.9446737379984868e-10,0.0848842711746936,0.14371737872939763
9.846100704873551,0.06535863066623962,0.00010409419487692727,1.8205628031156602e-10,0.11537174455032304,0.1807438446089251
9.877290642836575,0.07232781187266638,0.00011483114646155137,1.7135146964725538e-10,0.1556643286649751,0.22800540011503173
9.906354760510986,0.07977709776879792,0.0001260606242608224,1.6203489733312725e-10,0.20860208057200524,0.2883921834645885
9.933589060756749,0.08777760434704629,0.00013777999040450687,1.5384617654645553e-10,0.2777341761418836,0.36552447883288575
9.95930612920572,0.09642737183755512,0.00014999867120320772,1.4656609942636843e-10,0.36743521570998006,0.46387491856422913
9.983847048823543,0.10585811597813487,0.00016274536810677244,1.40004120075454e-10,0.483006427420132,0.5888764382234467
10.007591620225842,0.1162422374362223,0.00017607674837611114,1.3398940177793584e-10,0.6307380552594026,0.7469916747958456
10.030964377137126,0.12779908351993943,0.00019008678648734764,1.2836529542187478e-10,0.817898435507892,0.9457083059692202
10.054433485992197,0.14079892226661148,0.0002049153856569629,1.2298732502024954e-10,1.052603132987074,1.1934121619799059
10.078499651865945,0.15556253691249666,0.0002207544071174073,1.1772473210486298e-10,1.3435078013712478,1.4990796821655858
10.103672768889231,0.1724538243962086,0.00023784876401696512,1.1246533584002763e-10,1.699266651614308,1.8717289836007707
10.130435676693953,0.19186255097940327,0.0002564900126361598,1.0712283827825872e-10,2.1277144160021133,2.319584581860716
