pH,CO2,HCO3,CO3,H,OH,DIC,CO2_frac,HCO3_frac,CO3_frac
0.0,0.0009999990929003134,9.071053681819543e-10,1.6274498696288466e-19,1.3606725159613464,1.733102383052864e-14,0.0010000000000056819,0.9999990928946315,9.071053681768003e-07,1.6274498696195996e-16
0.1,0.000999998939462532,1.0605431518029796e-09,2.272258675517684e-19,1.0716448802641303,2.139094188630438e-14,0.001000000000005684,0.999998939456848,1.0605431517969515e-06,2.2722586755047684e-16
0.2,0.0009999987462019258,1.2538037560970154e-09,3.2016091825382865e-19,0.8435460639928943,2.6333072794746012e-14,0.001000000000005682,0.9999987461962436,1.2538037560898912e-06,3.2016091825200946e-16
0.30000000000000004,0.0009999985046459474,1.495366490285103e-09,4.543174720023036e-19,0.6636434569613949,3.235554744423788e-14,0.0010000000000124382,0.9999985046335093,1.4953664902665034e-06,4.543174719966527e-16
0.4,0.0009999982040721994,1.7959347346679653e-09,6.483279168037633e-19,0.5218447034981856,3.970405398066475e-14,0.0010000000000069348,0.9999982040652646,1.7959347346555108e-06,6.483279167992673e-16
0.5,0.0009999978310804422,2.168925514291614e-09,9.294684873250576e-19,0.41015282101826833,4.86839912688403e-14,0.0010000000000059573,0.9999978310744849,2.168925514278693e-06,9.294684873195206e-16
0.6000000000000001,0.0009999973688966188,2.6311091379546743e-09,1.3378167898723917e-18,0.3222336209367798,5.967577778125068e-14,0.001000000000005758,0.9999973688908609,2.6311091379395244e-06,1.3378167898646886e-15
0.7000000000000001,0.0009999967965752031,3.2034304914902174e-09,1.9325027524653665e-18,0.2530722858309568,7.315412028789032e-14,0.0010000000000056966,0.9999967965695065,3.2034304914719687e-06,1.9325027524543577e-15
0.8,0.000999996087951206,3.912054482200138e-09,2.8011507878018328e-18,0.1987007185428748,8.971225304703644e-14,0.001000000000005691,0.999996087945515,3.912054482177875e-06,2.8011507877858915e-15
0.9,0.000999995210315101,4.789690578325747e-09,4.074204243463268e-18,0.15598106362499708,1.1009241984992438e-13,0.0010000000000056836,0.9999952103094175,4.7896905782985245e-06,4.074204243440112e-15
1.0,0.000999994122739297,5.877266385474362e-09,5.946744450626977e-18,0.1224338105379706,1.3522420306918397e-13,0.0010000000000056882,0.9999941227336088,5.877266385440931e-06,5.946744450593151e-15
1.1,0.0009999927739668903,7.226038784695272e-09,8.71185079933859e-18,0.09610128074127404,1.6627272433483586e-13,0.0010000000000056836,0.9999927739612067,7.2260387846542025e-06,8.711850799289075e-15
1.2000000000000002,0.0009999910997511802,8.900254489216594e-09,1.281178617416889e-17,0.07543920329976438,2.0469927380753394e-13,0.001000000000005682,0.9999910997454982,8.900254489166022e-06,1.2811786174096092e-14
1.3,0.0009999890195043334,1.09805013360793e-08,1.8916792114290555e-17,0.059230595452602945,2.5233759830737247e-13,0.0010000000000056884,0.999989019498645,1.0980501336016839e-05,1.891679211418295e-14
1.4000000000000001,0.0009999864320767732,1.3567928882207014e-08,2.8046763381718405e-17,0.04651736460518944,3.1148992928937135e-13,0.0010000000000056834,0.99998643207109,1.3567928882129902e-05,2.8046763381559004e-14
1.5,0.0009999832104416783,1.6789563967576406e-08,4.175968477918876e-17,0.03654599914396792,3.850479057306525e-13,0.0010000000000056877,0.9999832104359906,1.6789563967480912e-05,4.1759684778951244e-14
1.6,0.0009999791949992514,2.080500637429954e-08,6.244426139946043e-17,0.02872446761173998,4.766449021351528e-13,0.0010000000000056882,0.9999791949935632,2.0805006374181197e-05,6.244426139910524e-14
1.7000000000000002,0.0009999741851408836,2.581486470348327e-08,9.377551900228638e-17,0.022588039699827832,5.908479805871124e-13,0.0010000000000056808,0.9999741851352029,2.581486470333662e-05,9.377551900175365e-14
1.8,0.000999967928618499,3.20713870434126e-08,1.4142582988290624e-16,0.01777221110807211,7.333998389110403e-13,0.0010000000000056838,0.9999679286128154,3.207138704323031e-05,1.414258298821024e-13
1.9000000000000001,0.0009999601081456656,3.9891859806276225e-08,2.1417702507283447e-16,0.013991284218853857,9.11523837830291e-13,0.0010000000000056862,0.9999601081399796,3.989185980604939e-05,2.141770250716166e-13
2.0,0.0009999503245080297,4.967549733098587e-08,3.2566339870973977e-16,0.01102144910290706,1.1343085992861755e-12,0.0010000000000056864,0.9999503245023436,4.9675497330703395e-05,3.256633987078879e-13
2.1,0.0009999380752732168,6.192473197219781e-08,4.971086027336574e-16,0.008687441563735116,1.4131929500242347e-12,0.0010000000000056862,0.999938075267531,6.19247319718457e-05,4.971086027308308e-13
2.2,0.000999922727956288,7.727204863664346e-08,7.616303945410464e-16,0.0068520399586730375,1.7625773547270676e-12,0.0010000000000056862,0.9999227279506022,7.727204863620407e-05,7.616303945367156e-13
2.3000000000000003,0.0009999034862040622,9.651380045160773e-08,1.1710214833968157e-15,0.005407810594608417,2.2005947090000812e-12,0.0010000000000056847,0.999903486198378,9.651380045105908e-05,1.1710214833901588e-12
2.4000000000000004,0.0009998793471963127,1.2065280756757087e-07,1.806444497767799e-15,0.004270630367570657,2.750081779695396e-12,0.0010000000000056867,0.9998793471906267,0.00012065280756688475,1.8064444977575266e-12
2.5,0.0009998490480061504,1.5095199674228337e-07,2.7953186576905798e-15,0.0033746109413789415,3.439803114454837e-12,0.001000000000005688,0.9998490480004633,0.00015095199674142477,2.79531865767468e-12
2.6,0.0009998109980934244,1.890019079242864e-07,4.338005963443249e-15,0.002668125717263685,4.305992443871748e-12,0.0010000000000056869,0.9998109980877385,0.00018900190792321158,4.338005963418579e-12
2.7,0.000999763194394338,2.3680560459803936e-07,6.75001174785315e-15,0.0021107027096571936,5.394293185894988e-12,0.001000000000005686,0.9997631943886532,0.00023680560459669287,6.750011747814769e-12
2.8000000000000003,0.0009997031145807709,2.9688541438451007e-07,1.0528750870671456e-14,0.0016705960576959187,6.762200569456207e-12,0.001000000000005684,0.9997031145750885,0.00029688541438282253,1.052875087061161e-11
2.9000000000000004,0.0009996275877726364,3.7241704386852097e-07,1.645921256895215e-14,0.0013228885672452553,8.482134328683223e-12,0.0010000000048329643,0.999627582941472,0.0003724170420686427,1.6459212489405366e-11
3.0,0.000999532604078761,4.6739799666161923e-07,2.5781215433369277e-14,0.0010480092746285015,1.0645304397619887e-11,0.0010000000021012038,0.9995326019785393,0.0004673979956795208,2.578121537919769e-11
3.1,0.0009994131417282225,5.868590141584067e-07,4.045417244225915e-14,0.0008305750947605041,1.3366574421380578e-11,0.001000000000782835,0.9994131409458469,0.000586859013698993,4.045417241059021e-11
